id_centro_vacunacion,id_ubigeo,nombre,lat,lon,entidad_administra,id_eess,departamento
102905,1828,SANTA ROSA,-18.33541629,-70.39374416,-,2905,TACNA
102906,1828,LOS PALOS,-18.29243101,-70.43370966,-,2906,TACNA
4844,1828,IE ALFONSO UGARTE,-18.2862724,-70.4360652,-,0,TACNA
102904,1828,LOS OLIVOS,-18.20842309,-70.51386387,-,2904,TACNA
102903,1828,PUESTO DE SALUD 5 Y 6  LA YARADA,-18.18389645,-70.42662523,-,2903,TACNA
102900,1826,CARLOS ALBERTO JARA ALMONTE FLOR,-18.1576143,-70.67925073,-,2900,TACNA
102902,1828,28 DE AGOSTO,-18.15365318,-70.45090372,-,2902,TACNA
102901,1826,VILA VILA,-18.11522915,-70.72498514,-,2901,TACNA
124213,1827,CENTRO DE SALUD MENTAL COMUNITARIO  VILLA TACNA,-18.07397305,-70.25708213,-,24213,TACNA
106710,1827,VIÑANI,-18.06960386,-70.25317869,-,6710,TACNA
102920,1818,HABITAT,-18.06886603,-70.29363645,-,2920,TACNA
102889,1827,VISTA ALEGRE,-18.05530988,-70.25050184,-,2889,TACNA
787,1827,I.E. Enrique Palliardeli,-18.04671778,-70.2499678,DIRESA,0,TACNA
788,1827,Centro De Salud Tarata,-18.04671778,-70.2499678,-,0,TACNA
124573,1827,NEO DENTAL,-18.04585846,-70.25578682,-,24573,TACNA
126550,1827,laboratorio clinico san bartolome,-18.04574271,-70.25377702,-,26550,TACNA
123773,1827,DENTAL BOLOGNESI,-18.04561179,-70.25890462,-,23773,TACNA
102886,1827,SAN FRANCISCO,-18.04537936,-70.25389899,-,2886,TACNA
125638,1827,consultorio  medico especializado hamilton naki,-18.04532169,-70.2538954,-,25638,TACNA
123845,1827,LABORATORIO CLINICO OCHOA,-18.0452218,-70.25383053,-,23845,TACNA
127098,1827,Arte Dental,-18.0437073,-70.25606711,-,27098,TACNA
126244,1827,CONSULTORIO MEDICO SAN BARTOLOME,-18.0429986,-70.2516849,-,26244,TACNA
124581,1818,ClipsDent,-18.04287876,-70.24989681,-,24581,TACNA
102888,1827,LAS BEGONIAS,-18.04238114,-70.26031199,-,2888,TACNA
128059,1818,MOLAR S.O.S.,-18.042175,-70.24897674,-,28059,TACNA
123453,1827,SALUD JOVE ANDINA,-18.04172024,-70.25380283,-,23453,TACNA
127419,1827,CONSULTORIO DENTAL ELIZABETH I,-18.0417091,-70.24598708,-,27419,TACNA
127024,1827,CONSULTORIO ODONTOLÓGICO ALEGRÍA Y SONRISAS,-18.04127321,-70.25140925,-,27024,TACNA
109921,1827,"CENTRO  DE ATENCION PRIMARIA II ""LUIS PALZA LEVANO""",-18.03971731,-70.25301731,-,9921,TACNA
918,1827,I.E. Jorge Chavez,-18.0396,-70.2554,ESSALUD,0,TACNA
102887,1827,5 DE NOVIEMBRE,-18.03753026,-70.24888886,-,2887,TACNA
124582,1827,ZONA  DENTAL,-18.03693291,-70.25167117,-,24582,TACNA
117564,1827,SAN IGNACIO DE LOYOLA CENTRO MEDICO,-18.0367004,-70.2557142,-,17564,TACNA
126195,1818,"CENTRO DE SALUD MENTAL COMUNITARIO ""LA HEROICA""",-18.03546375,-70.27485521,-,26195,TACNA
102918,1818,AUGUSTO B. LEGUIA,-18.03370906,-70.27622859,-,2918,TACNA
126097,1827,LUMALECK,-18.0335361,-70.24803393,-,26097,TACNA
112534,1827,CENTRO MEDICO INTEGRAL VIDA Y SALUD,-18.033067,-70.253181,-,12534,TACNA
443,1818,Ie Cristo Rey,-18.0315645,-70.2687728,DIRESA,0,TACNA
124580,1818,consultorio villa dental,-18.0300958,-70.2657791,-,24580,TACNA
125929,1818,MONTERO ODONTO STUDIO,-18.0300958,-70.2657791,-,25929,TACNA
125644,1818,LA PALMERA,-18.02667156,-70.26268944,-,25644,TACNA
111712,1818,SISOL SALUD TACNA,-18.02588781,-70.26259578,-,11712,TACNA
126276,1818,DENTAL RAMOS,-18.02567272,-70.26330703,-,26276,TACNA
3377,1818,I. E. Lastenias Rejas de Castañon,-18.02536401,-70.2661615,-,0,TACNA
4079,1818,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN,-18.0249985,-70.2505346,-,0,TACNA
126337,1818,ONCOSUR TACNA,-18.02460654,-70.26633705,-,26337,TACNA
125649,1818,CIDENT,-18.0241831,-70.2592211,-,25649,TACNA
124405,1818,CONSULTORIO MEDICO DR. ALDO PARODI LA FEMME,-18.02332821,-70.26019693,-,24405,TACNA
123975,1818,TECNOLASER,-18.02106392,-70.2581006,-,23975,TACNA
127253,1818,LABORATORIO CLINICO ESPECIALIZADO BIOMARCAN,-18.02105295,-70.25165917,-,27253,TACNA
125636,1818,DR. EDWIN MEDINA Laparoscopía de Avanzada,-18.0206519,-70.2442103,-,25636,TACNA
125637,1818,GINECOLOGIA INTEGRAL LOS ANGELES,-18.0206519,-70.2442103,-,25637,TACNA
126298,1818,CONSULTORIO ODONTOLOGICO DENTIMED,-18.02023475,-70.24483641,-,26298,TACNA
112083,1818,MEDICINA INTEGRAL TACNA S.C.R.L.,-18.0199286,-70.2486396,-,12083,TACNA
124417,1818,DELUXE,-18.01984419,-70.25320704,-,24417,TACNA
112617,1818,CONSULTORIO ODONTOLOGICO LA DENT,-18.01981134,-70.2542751,-,12617,TACNA
102921,1818,JESUS MARIA,-18.0196822,-70.23827298,-,2921,TACNA
127032,1818,CENTRO MEDICO ESPECIALIZADO SAGRADO CORAZÓN,-18.01924,-70.25909506,-,27032,TACNA
127339,1818,CHAVARRI MEDICAL GROUP,-18.01906656,-70.24772249,-,27339,TACNA
116570,1818,CENTRO ODONTOLOGICO AMERICANO - TACNA,-18.0178954,-70.2467054,-,16570,TACNA
127689,1818,TOMODENT TACNA,-18.01773351,-70.24917338,-,27689,TACNA
111161,1818,CLINICA ISABEL,-18.01757561,-70.25055375,-,11161,TACNA
123173,1818,SAN ISIDRO LABRADOR TACNA,-18.01750555,-70.24625801,-,23173,TACNA
127052,1818,RIO ODONTOLOGIA ESPECIALIZADA,-18.01727088,-70.25197645,-,27052,TACNA
115421,1818,PROMEDIC,-18.01720457,-70.25648793,-,15421,TACNA
126277,1818,CONSULTORIO DE OTORRINOLARINGOLOGIA,-18.017102,-70.2563004,-,26277,TACNA
117583,1818,TRAUMA CENTER SANCHEZ,-18.017061,-70.2564748,-,17583,TACNA
120964,1818,MONTEFIORI II,-18.01704132,-70.25626262,-,20964,TACNA
121291,1818,SOMRIEM ODONTOLOGIA,-18.016947,-70.248268,-,21291,TACNA
126395,1818,Diagnostic,-18.01684237,-70.25606953,-,26395,TACNA
124907,1818,SANIDAD DEL DESTACAMENTO AÉREO DE TACNA,-18.01681575,-70.24776715,-,24907,TACNA
125345,1818,UROCENTRO,-18.0165822,-70.25352677,-,25345,TACNA
125534,1818,TODO ORTODONCIA,-18.01651588,-70.25343825,-,25534,TACNA
121395,1818,DENTAL MONTALVO,-18.01631693,-70.25312444,-,21395,TACNA
110734,1818,"CONSULTORIO ODONTOLOGICO ""ODONTOTACNA""",-18.015915,-70.25353,-,10734,TACNA
111223,1818,POLICLINICO POLICIAL TACNA,-18.01568584,-70.25432782,-,11223,TACNA
125908,1818,BIOMÉDICA,-18.01558418,-70.25344513,-,25908,TACNA
123407,1818,CERTA,-18.01554953,-70.25400471,-,23407,TACNA
102919,1818,METROPOLITANO,-18.01537086,-70.25418077,-,2919,TACNA
127079,1818,REUMACENTRO,-18.01531545,-70.25117967,-,27079,TACNA
124586,1818,CONSULTORIO MEDICO JIMMY SAKURAY,-18.0151941,-70.2510513,-,24586,TACNA
102862,1818,HOSPITAL HIPOLITO UNANUE DE TACNA,-18.01515983,-70.25524329,-,2862,TACNA
123966,1818,ECOGRAFIAS SHANEL,-18.01505433,-70.251204,-,23966,TACNA
114943,1818,CENTRO MÉDICO  SAN PEDRO APOSTOL,-18.01503392,-70.24610241,-,14943,TACNA
